Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,7194.892090,8178.215820,6914.996094,8163.692383,8163.692383,157692127789
2020-01-08,8161.935547,8879.511719,7726.774902,8827.764648,8827.764648,200182431836
2020-01-15,8825.343750,9164.362305,8544.520508,8745.894531,8745.894531,224863843189
2020-01-22,8744.210938,9358.589844,8266.840820,9358.589844,9358.589844,177639890997
2020-01-29,9357.470703,9553.125977,9112.811523,9180.962891,9180.962891,210079554352
2020-02-05,9183.416016,10210.052734,9163.704102,10208.236328,10208.236328,255388138638
2020-02-12,10202.387695,10457.626953,9507.637695,10141.996094,10141.996094,316647796867
2020-02-19,10143.798828,10191.675781,9305.021484,9341.705078,9341.705078,297466794152
2020-02-26,9338.290039,9354.778320,8471.212891,8787.786133,8787.786133,296881643974
2020-03-04,8788.541992,9167.695313,7690.098145,7909.729492,7909.729492,280612615909
2020-03-11,7910.089844,7950.814453,4106.980957,5225.629395,5225.629395,320962956935
2020-03-18,5227.113770,6844.261719,5069.335938,6734.803711,6734.803711,320630391208
2020-03-25,6738.716797,6892.511230,5903.234375,6438.644531,6438.644531,247642541066
2020-04-01,6437.319336,7427.939453,6202.373535,7176.414551,7176.414551,280820363016
2020-04-08,7179.283203,7356.223633,6668.259766,6842.427734,6842.427734,255712625996
2020-04-15,6845.561523,7280.521973,6555.504395,6880.323242,6880.323242,245680231023
2020-04-22,6879.440430,7814.527344,6867.781738,7807.058594,7807.058594,246748263052
2020-04-29,7806.712402,9440.650391,7786.049316,9003.070313,9003.070313,347337504537
2020-05-06,9007.441406,9996.743164,8374.323242,8804.477539,8804.477539,371419313048
2020-05-13,8805.387695,9906.030273,8805.387695,9729.038086,9729.038086,307474299909
2020-05-20,9725.329102,9804.793945,8719.667969,8835.052734,8835.052734,226802188257
2020-05-27,8837.380859,10199.565430,8834.157227,9529.803711,9529.803711,234836670677
2020-06-03,9533.760742,9887.610352,9458.150391,9795.700195,9795.700195,165096752143
2020-06-10,9794.119141,9938.297852,8990.175781,9538.024414,9538.024414,163385572594
2020-06-17,9533.784180,9670.541016,9247.379883,9629.658203,9629.658203,128145301501
2020-06-24,9632.149414,9680.367188,8975.525391,9137.993164,9137.993164,119949539265
2020-07-01,9145.985352,9375.474609,8977.015625,9252.277344,9252.277344,102312288655
2020-07-08,9253.020508,9450.335938,9118.001953,9243.213867,9243.213867,117870229991
2020-07-15,9241.897461,9407.262695,9088.947266,9374.887695,9374.887695,102520060208
2020-07-22,9375.080078,11298.221680,9319.653320,10912.823242,10912.823242,152475792873
2020-07-29,10912.953125,12034.144531,10856.141602,11205.892578,11205.892578,165642615506
2020-08-05,11203.823242,12045.140625,11158.285156,11410.525391,11410.525391,159159869557
2020-08-12,11404.596680,12359.056641,11216.872070,11991.233398,11991.233398,175033921161
2020-08-19,11990.884766,12028.923828,11189.850586,11366.134766,11366.134766,154129795712
2020-08-26,11366.894531,12067.081055,11185.941406,11970.478516,11970.478516,152357412919
2020-09-02,11964.823242,11964.823242,9916.493164,10131.516602,10131.516602,239051848565
2020-09-09,10134.151367,10938.631836,10017.250977,10796.951172,10796.951172,264955821719
2020-09-16,10797.761719,11134.092773,10380.260742,10538.459961,10538.459961,195234215734
2020-09-23,10535.492188,10945.347656,10197.865234,10844.640625,10844.640625,305224923370
2020-09-30,10843.871094,10933.624023,10416.689453,10604.406250,10604.406250,338928983592
2020-10-07,10603.355469,11698.467773,10562.506836,11425.899414,11425.899414,217165368987
2020-10-14,11429.047852,11999.917969,11223.012695,11916.334961,11916.334961,166416476583
2020-10-21,11913.077148,13759.668945,11900.928711,13654.218750,13654.218750,219280022211
2020-10-28,13654.214844,14028.213867,12932.250977,13950.300781,13950.300781,238350033398
2020-11-04,13950.488281,15903.437500,13580.471680,15290.902344,15290.902344,237191610816
2020-11-11,15290.909180,17782.919922,15290.006836,17645.406250,17645.406250,217216819013
2020-11-18,17645.191406,19348.271484,17352.906250,19107.464844,19107.464844,298184051823
2020-11-25,19104.410156,19845.974609,16351.035156,18802.998047,18802.998047,305090825302
2020-12-02,18801.744141,19566.191406,18269.945313,18321.144531,18321.144531,214315279878
2020-12-09,18320.884766,19525.007813,17619.533203,19417.076172,19417.076172,184306175982
2020-12-16,19418.818359,24209.660156,19298.316406,23783.029297,23783.029297,322531635792
2020-12-23,23781.974609,28288.839844,22777.597656,27362.437500,27362.437500,343430550030
2020-12-30,27360.089844,34608.558594,27360.089844,33992.429688,33992.429688,434014165004
2021-01-06,34013.613281,41946.738281,30549.599609,33922.960938,33922.960938,588217850157
